"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.770931565544,4.36835876752577,0.237130551769925,18.4217458902729,8.79213669941645e-76,1.41403934536715e-71
"ENSG00000179094",743.252688449073,2.86388859808248,0.175565883862452,16.3123297936757,8.06567901346295e-60,6.48601577867623e-56
"ENSG00000116584",2277.91345410747,-1.03470049033619,0.065082555628233,-15.8982768938369,6.51316890091137e-57,3.49170984777859e-53
"ENSG00000189221",2383.75370672631,3.3415440681344,0.212409078963028,15.7316442613831,9.17959789231983e-56,3.6908868225545e-52
"ENSG00000120129",3440.70375496308,2.96521081657061,0.203697777240284,14.5569129754068,5.27883126347293e-48,1.6979888642087e-44
"ENSG00000148175",13493.9203682606,1.42716829196438,0.100381138942911,14.2174945113547,7.13624856542736e-46,1.9128714279628e-42
"ENSG00000178695",2685.40973562001,-2.48906892129326,0.178065428682575,-13.978395130985,2.11196891608752e-44,4.85239943963364e-41
"ENSG00000109906",439.541520915421,5.92759817865289,0.428158161851793,13.8444124316489,1.37500468985759e-43,2.76427505337245e-40
"ENSG00000134686",2933.64246142684,1.43948992679627,0.105843081357769,13.6002269428507,3.99192841695149e-42,7.13357608109231e-39
"ENSG00000101347",14134.9917673153,3.85041430891126,0.2848850356132,13.5156776508933,1.26386524958401e-41,2.03267448090596e-38
"ENSG00000096060",2630.23049426017,3.94505208402203,0.292896027327968,13.4691211759065,2.37678065283932e-41,3.47506938541953e-38
"ENSG00000166741",7542.25286980186,2.21959060429975,0.166736622596485,13.3119561241883,1.97248910848629e-40,2.64362852764876e-37
"ENSG00000125148",3695.87946177106,2.19856357569088,0.16700757703706,13.1644540606862,1.40549887405627e-39,1.73881833780361e-36
"ENSG00000162614",5646.18313812309,1.97114016269575,0.15021115760209,13.1224617009964,2.44850121094309e-39,2.81280321254269e-36
"ENSG00000106976",989.046833637733,-1.85017137464956,0.147797282184123,-12.5183044458467,5.92881525871496e-36,6.35687572039418e-33
"ENSG00000187193",199.07693798836,3.25514246765372,0.260916033909487,12.4758238076812,1.01154576837031e-35,1.01679316204373e-32
"ENSG00000256235",1123.47954131474,1.28011886137867,0.105494291310672,12.1344846766052,6.93451769379968e-34,6.56046165114001e-31
"ENSG00000177666",2639.57019969705,1.13999465313704,0.0960869978155415,11.8641926488899,1.81646227614331e-32,1.62300904373405e-29
"ENSG00000164125",7257.00808055341,1.02485242974147,0.0865945306101244,11.8350711357935,2.57125417214087e-32,2.17649899213377e-29
"ENSG00000198624",2020.04495478061,2.81410138795081,0.240623133381132,11.69505753004,1.35095620072031e-31,1.08637142880924e-28
"ENSG00000123562",5008.55293511073,1.00454522295557,0.0890333411617679,11.282798217472,1.59587550119531e-29,1.22221265170115e-26
"ENSG00000144369",1283.77979687001,-1.3090039915705,0.117164382299728,-11.1723713800822,5.56743455689289e-29,4.07004772629584e-26
"ENSG00000196517",241.91536257078,-2.34569037224118,0.210491142076768,-11.1438911352653,7.66936369404688e-29,5.36288592571113e-26
"ENSG00000135821",19973.4000047829,3.04139431373985,0.275997572353533,11.0196415417888,3.07280284068674e-28,2.0591620036152e-25
"ENSG00000164647",1885.61489540935,1.54719055210381,0.142640811871137,10.8467592956605,2.06621830427817e-27,1.32923955950823e-24
"ENSG00000157150",194.419230565533,2.90878359178716,0.268518080634139,10.8327289727295,2.40867868448333e-27,1.48995304932867e-24
"ENSG00000276600",308.766133363223,-1.76082930200896,0.163005606501909,-10.8022622031,3.35825910290355e-27,2.00040300562955e-24
"ENSG00000163697",2417.25697073947,0.917524830429295,0.0859822909990802,10.671090753317,1.38985163231104e-26,7.98320850087799e-24
"ENSG00000116285",3268.63191573428,2.44021979029145,0.229396820149497,10.6375484573028,1.99304258573632e-26,1.1053139278068e-23
"ENSG00000181467",614.694820343917,-1.26188933884563,0.118716735926712,-10.6294140332888,2.17474554581775e-26,1.1658810871129e-23
"ENSG00000183044",534.268135899311,1.00628629562711,0.095119941419759,10.5791307333383,3.72397060930188e-26,1.93201997772265e-23
"ENSG00000162692",501.804184764929,-3.53333404627355,0.334335415386291,-10.5682314336671,4.18308626889262e-26,2.10239301445625e-23
"ENSG00000163884",574.142864572114,4.53724572167687,0.431709244385626,10.5099572934416,7.77287389266633e-26,3.78821608532583e-23
"ENSG00000273259",2004.06797116422,3.36549833293904,0.323440155833854,10.4053200328899,2.34466911787585e-25,1.10909745361168e-22
"ENSG00000110756",990.645486606917,1.49026620237819,0.147028822232116,10.1358779846953,3.82918024453254e-24,1.75956302493762e-21
"ENSG00000119138",1717.46623459215,2.12787549552798,0.211774355000567,10.0478431183147,9.39000934232263e-24,4.19498667368263e-21
"ENSG00000077684",1762.18309743193,1.18958336690034,0.118705415828268,10.0213065983554,1.22867740177311e-23,5.34076179803158e-21
"ENSG00000103502",3348.30312527958,0.839753221826959,0.0839312793751616,10.0052474843541,1.44529860115476e-23,6.11703615851894e-21
"ENSG00000166482",27413.4128904298,-0.949287540571045,0.0953628287767603,-9.95448176976043,2.41075592518662e-23,9.94158654994265e-21
"ENSG00000185950",2275.98209759502,2.16650968661443,0.219964789280858,9.8493476783148,6.8990278731705e-23,2.77392663210503e-20
"ENSG00000165995",513.109573436338,3.00661379724185,0.305909027996795,9.82845722772636,8.49095187237533e-23,3.33073119422957e-20
"ENSG00000103196",3096.15933899728,2.62603415816357,0.267453556246064,9.8186548536582,9.35839163749093e-23,3.58359554061349e-20
"ENSG00000211445",12537.1799334237,3.77018284804588,0.385588353491621,9.77774046831476,1.40307817188257e-22,5.24783866009007e-20
"ENSG00000157510",502.245335458258,1.82248126695424,0.188083908308074,9.68972456680923,3.33426629501079e-22,1.21875010960587e-19
"ENSG00000221869",1996.6227385359,1.51593634649,0.1577306507432,9.61091797534065,7.19050348623356e-22,2.56988594597987e-19
"ENSG00000197043",14235.8891385396,0.954687022846874,0.0993682919745846,9.60756196847033,7.42870784913335e-22,2.59730235516547e-19
"ENSG00000139289",2896.74376144142,-1.07092653489257,0.112143238438621,-9.54963089886799,1.30159181233545e-21,4.45393640804064e-19
"ENSG00000131389",738.395170724894,-1.96399624126652,0.205870417140955,-9.53996338348027,1.42882754860595e-21,4.78746530504782e-19
"ENSG00000158246",70.9156124341666,2.34457548299642,0.246768437019102,9.50111574769561,2.07653291984877e-21,6.81568958161791e-19
"ENSG00000145777",152.344620594276,-2.71541783569003,0.288511616331004,-9.41181457517011,4.87644390462362e-21,1.56855694636123e-18
"ENSG00000181061",2495.79383552303,1.26971875384143,0.135477477295883,9.3721759452928,7.10523521078402e-21,2.24065682147136e-18
"ENSG00000157214",3042.42442776058,1.99782068933394,0.213883304322004,9.34070424836057,9.56954599858276e-21,2.9597501595232e-18
"ENSG00000108821",102624.279264829,-1.27736598839372,0.137390943316186,-9.29730852385256,1.44045762642933e-20,4.29016296404868e-18
"ENSG00000151726",1467.32301351221,1.57907014931326,0.169815395239411,9.2987455412216,1.42112422575588e-20,4.29016296404868e-18
"ENSG00000124766",1291.40790053461,-2.33654843323611,0.251618749800818,-9.2860664600143,1.60095764523659e-20,4.68149123788001e-18
"ENSG00000141401",619.513260387526,2.19485415262793,0.237404283313994,9.24521715442259,2.34763518390222e-20,6.74232440405347e-18
"ENSG00000003402",3368.72335143759,1.16249955330816,0.126132957466077,9.21646155502859,3.07066097530245e-20,8.37041363826938e-18
"ENSG00000112837",2671.19815511368,-1.63666384276223,0.177536186444559,-9.21876196362552,3.00550184047106e-20,8.37041363826938e-18
"ENSG00000157514",2226.72449000203,3.34428298554888,0.362812249369307,9.21766834323374,3.03630640990754e-20,8.37041363826938e-18
"ENSG00000169715",553.702542171806,2.16215506651439,0.235812150884322,9.16897224509451,4.77550154399751e-20,1.25908838249364e-17
"ENSG00000196975",4931.1015623731,1.12894748971993,0.123120781653315,9.16943081874539,4.75523141138223e-20,1.25908838249364e-17
"ENSG00000128923",1481.50742728071,1.05791506237312,0.116157838828589,9.10756495680208,8.42516487080782e-20,2.18551494543874e-17
"ENSG00000143320",1513.74032144022,-1.70763401442763,0.18760993389256,-9.10204475316084,8.86468939558394e-20,2.26302856427264e-17
